Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086338,2017,09,14,15.3,1,Y
IDCJAC0010,086338,2017,09,15,16.7,1,Y
IDCJAC0010,086338,2017,09,16,13.3,1,Y
IDCJAC0010,086338,2017,09,17,18.1,1,Y
IDCJAC0010,086338,2017,09,18,22.0,1,Y
IDCJAC0010,086338,2017,09,19,13.9,1,Y
IDCJAC0010,086338,2017,09,20,19.2,1,Y
IDCJAC0010,086338,2017,09,21,23.6,1,Y
IDCJAC0010,086338,2017,09,22,25.6,1,Y
IDCJAC0010,086338,2017,09,23,30.6,1,Y
IDCJAC0010,086338,2017,09,24,19.9,1,Y
IDCJAC0010,086338,2017,09,25,14.2,1,Y
IDCJAC0010,086338,2017,09,26,15.1,1,Y
IDCJAC0010,086338,2017,09,27,24.6,1,Y
IDCJAC0010,086338,2017,09,28,18.5,1,Y
IDCJAC0010,086338,2017,09,29,18.4,1,Y
IDCJAC0010,086338,2017,09,30,15.4,1,Y
IDCJAC0010,086338,2017,10,01,17.2,1,N
IDCJAC0010,086338,2017,10,02,16.4,1,N
IDCJAC0010,086338,2017,10,03,22.3,1,N
IDCJAC0010,086338,2017,10,04,20.8,1,N
IDCJAC0010,086338,2017,10,05,19.4,1,N
IDCJAC0010,086338,2017,10,06,15.0,1,N
IDCJAC0010,086338,2017,10,07,23.7,1,N
IDCJAC0010,086338,2017,10,08,25.3,1,N
IDCJAC0010,086338,2017,10,09,18.7,1,N
IDCJAC0010,086338,2017,10,10,18.8,1,N
IDCJAC0010,086338,2017,10,11,25.6,1,N
IDCJAC0010,086338,2017,10,12,19.2,1,N
IDCJAC0010,086338,2017,10,13,16.7,1,N
IDCJAC0010,086338,2017,10,14,16.1,1,N
IDCJAC0010,086338,2017,10,15,17.6,1,N
IDCJAC0010,086338,2017,10,16,28.6,1,N
IDCJAC0010,086338,2017,10,17,30.2,1,Y
IDCJAC0010,086338,2017,10,18,30.9,1,N
IDCJAC0010,086338,2017,10,19,25.6,1,N
IDCJAC0010,086338,2017,10,20,16.2,1,N
IDCJAC0010,086338,2017,10,21,15.4,1,N
IDCJAC0010,086338,2017,10,22,16.0,1,N
IDCJAC0010,086338,2017,10,23,19.0,1,N
IDCJAC0010,086338,2017,10,24,20.5,1,N
IDCJAC0010,086338,2017,10,25,18.5,1,N
IDCJAC0010,086338,2017,10,26,16.8,1,N
IDCJAC0010,086338,2017,10,27,27.4,1,N
IDCJAC0010,086338,2017,10,28,21.4,1,N
IDCJAC0010,086338,2017,10,29,28.6,1,N
IDCJAC0010,086338,2017,10,30,17.0,1,N
IDCJAC0010,086338,2017,10,31,16.4,1,N
IDCJAC0010,086338,2017,11,01,18.0,1,Y
IDCJAC0010,086338,2017,11,02,17.4,1,Y
IDCJAC0010,086338,2017,11,03,16.6,1,Y
IDCJAC0010,086338,2017,11,04,15.8,1,Y
IDCJAC0010,086338,2017,11,05,17.6,1,Y
IDCJAC0010,086338,2017,11,06,16.1,1,Y
IDCJAC0010,086338,2017,11,07,15.8,1,Y
IDCJAC0010,086338,2017,11,08,16.9,1,Y
